
0.031R0
0.038R4.3849
0.043R11.6251
0.05R20.0043
0.056R26.7873
0.064R39.0601
0.072R46.2977
0.081R61.7303
0.091R73.2623
0.096R76.3893
0.105R87.3021
0.118R96.045
0.127R104.9865
0.133R105.2616
0.144R113.4268
0.152R117.326
0.157R121.0187
0.164R122.9682
0.171R126.7068
0.179R129.4218
0.185R129.7302
0.192R132.8134
0.202R136.1394
0.207R138.4857
0.216R139.6603
0.223R140.5088
0.231R144.3006
0.236R144.7736
0.247R147.7724
0.255R147.7122
0.26R149.3595
0.268R151.1201
0.276R152.1732
0.284R153.7554
0.289R155.1328
0.297R156.566
0.309R158.0366
0.314R158.1734
0.322R158.9023
0.33R160.1008
0.337R160.2377
0.342R161.3055
0.352R162.4047
0.361R162.9727
0.366R163.9344
0.374R164.4387
0.382R165.3581
0.39R165.8114
0.396R166.2457
0.403R167.4938
0.41R167.4801
0.415R168.2728
0.424R168.239
0.432R168.9815
0.439R168.945
0.444R169.6695
0.451R170.3622
0.462R170.6349
0.468R170.9405
0.476R171.218
0.484R171.8316
0.493R172.7515
0.498R172.3563
0.507R173.2414
0.515R173.7867
0.521R173.0645
0.53R173.8992
0.539R174.0878
0.546R174.6033
0.552R174.8185
0.558R175.0298
0.566R175.5006
0.575R176.2318
0.584R176.0846
0.592R176.5205
0.599R176.4048
0.604R176.8764
0.611R177.5779
0.619R177.7062
0.629R176.2055
0.635R177.6902
0.643R178.0715
0.651R178.9554
0.656R178.6074
0.665R178.6965
0.676R179.2409
0.685R178.5886
0.691R179.45
0.7R179.9999
0.707R179.8681
0.712R180.2432
0.719R180.5747
0.726R180.4409
0.736R179.574
0.742R180.8179
0.75R181.1108
0.758R181.1784
0.763R181.5204
0.772R181.5632
0.783R181.9923
0.791R180.9943
0.797R182.1411
0.805R182.4015
0.813R182.4518
0.818R182.3556
0.827R182.7894
0.834R182.6537
0.844R181.8721
0.85R182.9412
0.858R182.9838
0.866R183.2181
0.871R183.5054
0.878R183.3714
0.887R183.202
0.898R183.185
0.904R183.8129
0.913R183.6435
0.921R183.858
0.927R183.9267
0.935R184.492
0.942R184.3597
0.952R183.6483
0.957R184.7787
0.965R184.974
0.973R184.9949
0.978R184.9009
0.987R184.9036
0.998R185.2039
1.007R184.707
1.012R185.2767
1.02R185.4576
1.027R185.6542
1.032R185.562
